"","doid","Term","Synonym","Secondary"
"214","DOID:0040049","maleic anhydride allergic asthma","""allergic asthma to MA"" EXACT []","NA"
"218","DOID:0040050","tetrachlorophthalic anhydride allergic asthma","NA","NA"
"221","DOID:0040051","hexahydrophthalic anhydride allergic asthma","""allergic asthma to HHPA"" EXACT []","NA"
"225","DOID:0040052","diphenylmethane-4,4'-diisocyanate allergic contact dermatitis","""allergic contact dermatitis to MDI"" EXACT []","NA"
"229","DOID:0040053","cobalt allergic contact dermatitis","""allergic contact dermatitis to Co"" EXACT []","NA"
"233","DOID:0040054","cobalt allergic asthma","""Co allergic asthma"" EXACT []","NA"
"237","DOID:0040055","palladium allergic contact dermatitis","""allergic contact dermatitis to Pd"" EXACT []","NA"
"241","DOID:0040056","chromium allergic contact dermatitis","NA","NA"
"244","DOID:0040057","benzoic acid allergic contact dermatitis","""allergic contact dermatitis to benzoate"" EXACT []","NA"
"248","DOID:0040058","1,4-phenylenediamine allergic contact dermatitis","""allergic contact dermatitis to PPD"" EXACT []","NA"
"253","DOID:0040059","potassium dichromate allergic contact dermatitis","NA","NA"
"256","DOID:0040060","ketoprofen photoallergic dermatitis","""photoallergic dermatitis to Orudis"" EXACT []","NA"
"260","DOID:0040061","remazole black respiratory allergy","""respiratory allergy to Reactive Black 5"" EXACT []","NA"
"264","DOID:0040062","chloramine T respiratory allergy","""respiratory allergy to Trichlorol"" EXACT []","NA"
"270","DOID:0040063","4-vinylcyclohexene dioxide respiratory allergy","""respiratory allergy to vinyl cyclohexene diepoxide"" EXACT []","NA"
"274","DOID:0040064","carvone allergic contact dermatitis","""allergic contact dermatitis to levo-carvone"" EXACT []","NA"
"278","DOID:0040065","quinidine allergy","""Kinidin allergy"" EXACT []","NA"
"282","DOID:0040066","melphalan allergy","""Alkeran allergy"" EXACT []","NA"
"286","DOID:0040067","neomycin sulfate allergic contact dermatitis","""allergic contact dermatitis to neomycin sulphate"" EXACT []","NA"
"290","DOID:0040068","4-tert-butylphenol allergic contact dermatitis","""allergic contact dermatitis to PTBP"" EXACT []","NA"
"295","DOID:0040069","1-chloro-2,4-dinitrobenzene allergic contact dermatitis","""allergic contact dermatitis to DNCB"" EXACT []","NA"
"300","DOID:0040070","co-trimoxazole allergy","""trimethoprim/sulfamethoxazole allergy"" EXACT []","NA"
"307","DOID:0040071","sodium aurothiomalate allergy","""gold sodium thiomalate allergy"" EXACT []","NA"
"311","DOID:0040072","parthenolide allergic contact dermatitis","""allergic contact dermatitis to feverfew"" EXACT []","NA"
"315","DOID:0040073","disodium cromoglycate allergy","""DSCG allergy"" EXACT []","NA"
"319","DOID:0040074","formaldehyde allergic contact dermatitis","""allergic contact dermatitis to formalin"" EXACT []","NA"
"323","DOID:0040075","benzo[d]isothiazol-3-one allergic contact dermatitis","""allergic contact dermatitis to BIT"" EXACT []","NA"
"328","DOID:0040076","phthalyl group allergy","""phthalyl allergy"" EXACT []","NA"
"332","DOID:0040077","alcuronium bromide allergy","NA","NA"
"335","DOID:0040078","gallamine allergy","NA","NA"
"338","DOID:0040079","2,4-dinitrophenyl allergic contact dermatitis","""allergic contact dermatitis to DNP"" EXACT []","NA"
"342","DOID:0040080","patent blue V allergy","NA","NA"
"345","DOID:0040081","acid anhydride respiratory allergy","NA","NA"
"348","DOID:0040082","oxirane allergy","""ETO allergy"" EXACT []","NA"
"353","DOID:0040083","Chlamydia pneumonia","NA","NA"
"356","DOID:0040084","Streptococcus pneumonia","NA","NA"
"359","DOID:0040085","bacterial sepsis","NA","NA"
"362","DOID:0040086","Polyomavirus-associated nephropathy","""PVAN"" EXACT []","NA"
"367","DOID:0040087","autoimmune peripheral neuropathy","NA","NA"
"370","DOID:0040088","autoimmune uveitis","NA","NA"
"373","DOID:0040089","autoimmune optic neuritis","NA","NA"
"376","DOID:0040090","autoimmune gastritis","NA","NA"
"379","DOID:0040091","autoimmune pancreatitis","NA","NA"
"382","DOID:0040092","juvenile ankylosing spondylitis","NA","NA"
"385","DOID:0040093","drug-induced lupus erythematosus","""DILE"" EXACT []","NA"
"390","DOID:0040094","autoimmune glomerulonephritis","NA","DOID:0050146"
"394","DOID:0040095","autoimmune cardiomyopathy","NA","NA"
"397","DOID:0040096","autoimmune atherosclerosis","NA","NA"
"400","DOID:0040097","autoimmune vasculitis","NA","NA"
"403","DOID:0040098","pemphigus gestationis","NA","NA"
"406","DOID:0040099","livedoid vasculitis","""livedoid vasculopathy"" EXACT []","NA"
"410","DOID:0040100","Hirata disease","""insulin autoimmune syndrome"" EXACT []","NA"
"414","DOID:0040101","N,N'-diphenylthiourea allergic contact dermatitis","""neoprene allergy"" EXACT []","NA"
"418","DOID:0040102","N,N'-diethylthiourea allergic contact dermatitis","""neoprene allergy"" EXACT []","NA"
"422","DOID:0040103","cefotiam allergy","NA","NA"
"425","DOID:0040104","toluene 2,4-diisocyanate allergic asthma","NA","NA"
"428","DOID:0050001","obsolete Actinomadura madurae infectious disease","NA","NA"
"431","DOID:0050002","obsolete Actinomadura pelletieri infectious disease","NA","NA"
"434","DOID:0050003","obsolete Streptomyces somaliensis infectious disease","NA","NA"
"437","DOID:0050004","seminal vesicle acute gonorrhea","NA","NA"
"440","DOID:0050007","obsolete cutaneous strongyloidiasis","NA","NA"
"443","DOID:0050009","obsolete intestinal strongyloidiasis","NA","NA"
"446","DOID:0050010","obsolete Mansonella perstans infectious disease","NA","NA"
"449","DOID:0050011","obsolete Mansonella streptocerca infectious disease","NA","NA"
"452","DOID:0050012","chikungunya","""Chikungunya fever"" EXACT []","NA"
"456","DOID:0050013","obsolete carbohydrate metabolism disease","NA","NA"
"459","DOID:0050014","obsolete epizootic hemorrhagic disease","""EHD"" RELATED []","NA"
"463","DOID:0050015","obsolete Rocio virus encephalitis","NA","NA"
"466","DOID:0050024","obsolete Ehrlichia ewingii ehrlichiosis","NA","NA"
"469","DOID:0050025","human granulocytic anaplasmosis","""human granulocytic ehrlichiosis"" EXACT []","DOID:0050022"
"476","DOID:0050026","human monocytic ehrlichiosis","""Ehrlichiosis chafeensis"" RELATED []","DOID:14091"
"481","DOID:0050032","mineral metabolism disease","NA","NA"
"484","DOID:0050035","African tick-bite fever","""south african tick-bite fever"" EXACT []","DOID:0050036"
"491","DOID:0050041","Astrakhan spotted fever","NA","NA"
"494","DOID:0050042","Indian tick typhus","NA","NA"
"497","DOID:0050043","Israeli tick typhus","""Israeli spotted fever"" RELATED []","NA"
"501","DOID:0050046","Far Eastern spotted fever","""Rickettsia heilongjiangensis spotted fever"" EXACT []","NA"
"505","DOID:0050047","Flinders Island spotted fever","""Thai tick typhus"" EXACT []","DOID:0050048"
"511","DOID:0050050","Japanese spotted fever","""Rickettsia japonica spotted fever"" EXACT []","DOID:0050049"
"517","DOID:0050051","Rickettsia parkeri spotted fever","""maculatum infection"" EXACT []","NA"
"521","DOID:0050052","Rocky Mountain spotted fever","""Tobia fever"" RELATED []","DOID:1708"
"535","DOID:0050053","obsolete Rickettsia honei spotted fever","NA","NA"
"538","DOID:0050059","oropharyngeal anthrax","NA","NA"
"541","DOID:0050061","erysipeloid","NA","NA"
"544","DOID:0050063","obsolete abortive plague","NA","NA"
"547","DOID:0050065","obsolete cutaneous listeriosis","NA","NA"
"550","DOID:0050066","obsolete Listeria meningoencephalitis","NA","NA"
"553","DOID:0050067","obsolete Listeria septicaemia","NA","NA"
"556","DOID:0050068","obsolete pestis minor","NA","NA"
"559","DOID:0050069","obsolete Yersinia pestis infectious disease","NA","NA"
"562","DOID:0050070","obsolete plague meningitis","NA","NA"
"565","DOID:0050072","adiaspiromycosis","NA","NA"
"568","DOID:0050073","invasive aspergillosis","NA","NA"
"571","DOID:0050074","obsolete tonsillar aspergillosis","NA","NA"
"574","DOID:0050075","obsolete pulmonary blastomycosis","NA","DOID:0050077"
"579","DOID:0050078","obsolete cervix tuberculosis","NA","NA"
"582","DOID:0050079","obsolete niacin deficiency","NA","NA"
"585","DOID:0050080","obsolete iodine deficiency","NA","NA"
"588","DOID:0050082","obsolete hepatic Torque teno virus infectious disease","""TT virus liver infection"" EXACT []","DOID:0050081"
"595","DOID:0050083","Keshan disease","NA","NA"
"598","DOID:0050084","obsolete rhinotracheitis","""Feline viral rhinotracheitis"" EXACT []","NA"
"604","DOID:0050085","obsolete entomophthoromycosis","NA","NA"
"607","DOID:0050086","obsolete cutaneous mucormycosis","NA","NA"
"610","DOID:0050088","obsolete gastrointestinal mucormycosis","NA","NA"
"613","DOID:0050089","obsolete pulmonary mucormycosis","NA","NA"
"616","DOID:0050090","obsolete rhinocerebral mucormycosis","NA","NA"
"619","DOID:0050091","obsolete disseminated paracoccidioidomycosis","NA","NA"
"622","DOID:0050092","obsolete pulmonary paracoccidioidomycosis","NA","NA"
"625","DOID:0050093","obsolete disseminated sporotrichosis","NA","NA"
"628","DOID:0050094","obsolete lymphocutaneous sporotrichosis","NA","NA"
"631","DOID:0050095","obsolete pulmonary sporotrichosis","NA","NA"
"634","DOID:0050096","tinea barbae","""dermatophytosis of beard"" EXACT []","NA"
"638","DOID:0050097","ectothrix infectious disease","NA","NA"
"641","DOID:0050098","obsolete Microsporum audouinii tinea capitis","NA","NA"
"644","DOID:0050099","obsolete Microsporum canis tinea capitis","NA","NA"
"647","DOID:0050100","obsolete Microsporum distortum tinea capitis","NA","NA"
"650","DOID:0050101","obsolete Microsporum ferrugineum tinea capitis","NA","NA"
"653","DOID:0050102","obsolete Microsporum gypseum tinea capitis","NA","NA"
"656","DOID:0050103","obsolete Microsporum nanum tinea capitis","NA","NA"
"659","DOID:0050104","obsolete Trichophyton verrucosum tinea capitis","NA","NA"
"662","DOID:0050105","endothrix infectious disease","NA","NA"
"665","DOID:0050106","obsolete Trichophyton soudanense tinea capitis","NA","NA"
"668","DOID:0050107","obsolete Trichophyton tonsurans tinea capitis","NA","NA"
"671","DOID:0050108","obsolete Trichophyton violaceum tinea capitis","NA","NA"
"674","DOID:0050110","obsolete Trichophyton schoenleinii tinea capitis","NA","NA"
"677","DOID:0050111","obsolete Microsporum fulvum tinea capitis","NA","NA"
"680","DOID:0050112","obsolete Trichophyton megninii tinea capitis","NA","NA"
"683","DOID:0050113","obsolete Trichophyton equinum tinea capitis","NA","NA"
"686","DOID:0050115","obsolete Trichophyton yaoundei tinea capitis","NA","NA"
"689","DOID:0050116","tinea imbricata","NA","NA"
"692","DOID:0050117","disease by infectious agent","""infectious disease"" EXACT []","DOID:9696"
"710","DOID:0050118","La Crosse encephalitis","""Neuroinvasive California encephalitis virus infection"" EXACT []","DOID:10840"
"717","DOID:0050119","obsolete West Nile virus neurological syndrome","""WNNS"" EXACT []","NA"
"723","DOID:0050120","hemophagocytic lymphohistiocytosis","""haemophagocytic syndrome"" EXACT []","DOID:6453"
"728","DOID:0050123","obsolete tuberculous encephalitis","NA","NA"
"731","DOID:0050125","dengue shock syndrome","""DSS"" EXACT []","NA"
"735","DOID:0050126","obsolete Tahyna virus encephalitis","""valtice fever"" EXACT []","NA"
"740","DOID:0050127","sinusitis","NA","DOID:9564"
"745","DOID:0050129","secretory diarrhea","NA","NA"
"748","DOID:0050130","osmotic diarrhea","NA","NA"
"751","DOID:0050131","motility-related diarrhea","NA","NA"
"754","DOID:0050132","inflammatory diarrhea","NA","NA"
"757","DOID:0050133","superficial mycosis","""Steroid-modified tinea infection"" EXACT []","DOID:13370"
"763","DOID:0050134","cutaneous mycosis","NA","NA"
"766","DOID:0050135","subcutaneous mycosis","NA","NA"
"769","DOID:0050136","systemic mycosis","NA","NA"
"772","DOID:0050138","podoconiosis","NA","NA"
"775","DOID:0050139","obsolete Opisthorchis felineus infectious disease","NA","NA"
"778","DOID:0050140","acute diarrhea","NA","NA"
"781","DOID:0050141","intestinal botulism","NA","NA"
"784","DOID:0050143","asymptomatic dengue","NA","NA"
"787","DOID:0050144","Kartagener syndrome","""Kartagener's syndrome"" EXACT []","NA"
"791","DOID:0050145","adenoiditis","""chronic adenoiditis"" EXACT []","DOID:13750"
"796","DOID:0050147","otomycosis","""Singapore ear"" EXACT []","NA"
"800","DOID:0050148","laryngotracheitis","NA","DOID:9390"
"805","DOID:0050150","Pontiac fever","NA","NA"
"808","DOID:0050151","obsolete tracheobronchial tuberculosis","NA","NA"
"811","DOID:0050152","aspiration pneumonia","NA","NA"
"814","DOID:0050153","pulmonary aspergilloma","NA","NA"
"817","DOID:0050154","obsolete mycoplasmal pneumonia","NA","NA"
"820","DOID:0050155","sensory system disease","NA","NA"
"823","DOID:0050156","idiopathic pulmonary fibrosis","""IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL"" EXACT []","NA"
"829","DOID:0050157","cryptogenic organizing pneumonia","""idiopathic bronchiolitis obliterans with organizing pneumonia"" EXACT []","DOID:2798"
"841","DOID:0050158","desquamative interstitial pneumonia","""respiratory bronchiolitis-associated interstitial lung disease"" EXACT []","DOID:2796"
"848","DOID:0050159","lymphoid interstitial pneumonia","NA","NA"
"851","DOID:0050160","inhalation anthrax","""woolsorters' disease"" EXACT []","NA"
"858","DOID:0050161","lower respiratory tract disease","NA","NA"
"861","DOID:0050162","obsolete influenza encephalopathy","NA","NA"
"864","DOID:0050163","obsolete influenza myocarditis","NA","NA"
"867","DOID:0050164","obsolete influenza myositis","NA","NA"
"870","DOID:0050165","obsolete tuberculous mesenteric gland","NA","NA"
"873","DOID:0050166","tuberculous salpingitis","NA","NA"
"876","DOID:0050167","autoimmune polyendocrine syndrome type 1","""Whitaker syndrome"" EXACT []","NA"
"882","DOID:0050168","autoimmune polyendocrine syndrome type 2","""Schmidt syndrome"" EXACT []","NA"
"886","DOID:0050169","cutaneous lupus erythematosus","NA","NA"
"889","DOID:0050170","obsolete Jamestown Canyon encephalitis","NA","NA"
"892","DOID:0050171","obsolete snowshoe hare encephalitis","NA","NA"
"895","DOID:0050172","obsolete trivittatus encephalitis","NA","NA"
"898","DOID:0050173","obsolete inkoo encephalitis","NA","NA"
"901","DOID:0050174","Kunjin encephalitis","NA","NA"
"904","DOID:0050175","tick-borne encephalitis","""Western European tick-borne encephalitis"" EXACT []","DOID:10252"
"917","DOID:0050177","monogenic disease","NA","NA"
"920","DOID:0050178","obsolete complex genetic disease","NA","NA"
"923","DOID:0050179","Powassan encephalitis","NA","NA"
"926","DOID:0050180","obsolete Colorado tick fever encephalitis","NA","NA"
"929","DOID:0050181","obsolete Herpes simplex virus encephalitis","NA","NA"
"932","DOID:0050182","obsolete Varicella-zoster virus encephalitis","""Varicella Zoster Encephalitis"" EXACT []","DOID:8698"
"940","DOID:0050183","obsolete Epstein-Barr virus encephalitis","NA","NA"
"943","DOID:0050184","obsolete Measles virus encephalitis","""postmeasles encephalitis"" EXACT []","DOID:9127"
"950","DOID:0050185","erythema multiforme","NA","NA"
"953","DOID:0050186","obsolete Cytomegalovirus encephalitis","NA","NA"
"956","DOID:0050187","obsolete Rubella virus encephalitis","NA","DOID:9231"
"960","DOID:0050188","obsolete coxsackievirus encephalitis","NA","NA"
"963","DOID:0050189","obsolete polioencephalitis","NA","NA"
"966","DOID:0050190","obsolete adenovirus encephalitis","NA","NA"
"969","DOID:0050191","obsolete influenza virus encephalitis","NA","NA"
"972","DOID:0050192","Nipah virus encephalitis","NA","NA"
"975","DOID:0050193","obsolete Lymphocytic choriomeningitis virus encephalitis","NA","NA"
"978","DOID:0050194","Argentine hemorrhagic fever","NA","NA"
"981","DOID:0050195","Bolivian hemorrhagic fever","NA","NA"
"984","DOID:0050196","Venezuelan hemorrhagic fever","NA","NA"
"987","DOID:0050197","Brazilian hemorrhagic fever","NA","NA"
"990","DOID:0050198","Chapare hemorrhagic fever","NA","NA"
"993","DOID:0050199","Whitewater Arroyo hemorrhagic fever","NA","NA"
"996","DOID:0050200","Korean hemorrhagic fever","NA","NA"
"999","DOID:0050201","nephropathia epidemica","NA","NA"
"1002","DOID:0050202","lujo hemorrhagic fever","NA","NA"
"1005","DOID:0050203","obsolete Cytomegalovirus hepatitis","NA","NA"
"1008","DOID:0050204","Epstein-Barr virus hepatitis","NA","NA"
"1011","DOID:0050205","obsolete Herpes simplex virus hepatitis","NA","NA"
"1014","DOID:0050206","obsolete adenovirus hepatitis","NA","NA"
"1017","DOID:0050207","obsolete Rubella virus hepatitis","NA","NA"
"1020","DOID:0050208","obsolete yellow fever hepatitis","NA","NA"
"1023","DOID:0050209","obsolete Measles virus hepatitis","NA","NA"
"1026","DOID:0050210","obsolete Varicella-zoster virus hepatitis","NA","NA"
"1029","DOID:0050211","swine influenza","NA","NA"
"1032","DOID:0050212","obsolete Campylobacter jejuni gastroenteritis","""Campylobacter Gastroenteritis"" EXACT []","NA"
"1036","DOID:0050213","obsolete Vibrio gastroenteritis","NA","NA"
"1039","DOID:0050214","Lambert-Eaton myasthenic syndrome","""LEMS"" EXACT []","NA"
"1045","DOID:0050215","obsolete Staphylococcus gastroenteritis","""Staphylococcus Aureus Gastroenteritis"" EXACT []","NA"
"1049","DOID:0050216","obsolete Bacillus cereus gastroenteritis","NA","NA"
"1052","DOID:0050217","obsolete Sapovirus gastroenteritis","NA","NA"
"1055","DOID:0050218","polycystic echinococcosis","""neotropical echinococcosis"" EXACT []","NA"
"1060","DOID:0050219","obsolete Hepeviridae infectious disease","NA","NA"
"1063","DOID:0050220","obsolete Coxiella burnetii pneumonia","""Q fever pneumonia"" EXACT []","NA"
"1067","DOID:0050221","obsolete Coxiella burnetii hepatitis","""Q fever hepatitis"" EXACT []","NA"
"1071","DOID:0050222","selective IgM deficiency disease","NA","NA"
"1074","DOID:0050223","obsolete candidal gastritis","NA","NA"
"1077","DOID:0050224","obsolete Helicobacter heilmannii infectious disease","NA","NA"
"1080","DOID:0050225","obsolete Histoplasma capsulatum gastritis","NA","NA"
"1083","DOID:0050226","obsolete Morganella morganii intestinal infectious disease","NA","NA"
"1086","DOID:0050227","obsolete Vibrio cholerae O139 cholera","NA","NA"
"1089","DOID:0050228","obsolete amebic dysentery","""Entamoeba histolytica dysentery"" EXACT []","NA"
"1095","DOID:0050229","obsolete Escherichia coli dysentery","NA","NA"
"1098","DOID:0050230","obsolete intestinal capillariasis","NA","NA"
"1101","DOID:0050231","obsolete hepatic capillariasis","NA","NA"
"1104","DOID:0050232","obsolete pulmonary capillariasis","NA","NA"
"1107","DOID:0050233","obsolete Balamuthia mandrillaris infectious disease","NA","NA"
"1110","DOID:0050234","obsolete Acanthamoeba infectious disease","""free-living ameba infectious disease"" EXACT []","DOID:11334"
"1115","DOID:0050235","obsolete Alveolata infectious disease","NA","NA"
"1118","DOID:0050236","obsolete Heterolobosea infectious disease","NA","NA"
"1121","DOID:0050237","obsolete Euglenozoa infectious disease","NA","NA"
"1124","DOID:0050238","obsolete Parabasalia infectious disease","NA","NA"
"1127","DOID:0050239","obsolete Fornicata infectious disease","NA","NA"
"1130","DOID:0050240","obsolete Trichomonadida infectious disease","NA","NA"
"1133","DOID:0050241","obsolete Tritrichomonadida infectious disease","NA","NA"
"1136","DOID:0050242","primary amebic meningoencephalitis","""Naegleria fowleri infection"" EXACT []","NA"
"1140","DOID:0050243","obsolete Apicomplexa infectious disease","NA","NA"
"1143","DOID:0050244","obsolete Coccidia infectious disease","NA","NA"
"1146","DOID:0050245","obsolete Aconoidasida infectious disease","NA","NA"
"1149","DOID:0050246","granulomatous amebic encephalitis","""granulomatous amoebic encephalitis"" EXACT []","NA"
"1156","DOID:0050247","obsolete parasitic stramenopiles infectious disease","NA","NA"
"1159","DOID:0050249","obsolete Brugia timori filariasis","NA","NA"
"1162","DOID:0050250","philophthalmiasis","NA","NA"
"1165","DOID:0050251","coenurosis","NA","NA"
"1168","DOID:0050252","obsolete Dipylidium caninum infectious disease","NA","NA"
"1171","DOID:0050253","mesocestoidiasis","NA","NA"
"1174","DOID:0050254","acanthocephaliasis","NA","NA"
"1177","DOID:0050255","obsolete Uncinaria stenocephala infectious disease","NA","NA"
"1180","DOID:0050256","angiostrongyliasis","NA","NA"
"1183","DOID:0050257","obsolete Angiostrongylus cantonensis infectious disease","NA","NA"
"1186","DOID:0050258","obsolete Angiostrongylus costaricensis infectious disease","NA","NA"
"1189","DOID:0050259","baylisascariasis","NA","NA"
"1192","DOID:0050260","dioctophymiasis","NA","NA"
"1195","DOID:0050261","thelaziasis","NA","NA"
"1198","DOID:0050262","obsolete Acoelomata infectious disease","NA","NA"
"1201","DOID:0050263","obsolete Pseudocoelomata infectious disease","NA","NA"
"1204","DOID:0050264","obsolete Acanthocephala infectious disease","NA","NA"
"1207","DOID:0050265","obsolete tick paralysis","NA","NA"
"1210","DOID:0050266","tungiasis","NA","NA"
"1213","DOID:0050267","obsolete Ancylostoma caninum ancylostomiasis","NA","NA"
"1216","DOID:0050268","ophthalmomyiasis","NA","NA"
"1219","DOID:0050269","Trichomonas vaginalis trichomoniasis","""urogenital trichomonas"" EXACT []","NA"
"1223","DOID:0050270","Trichomonas tenax trichomoniasis","NA","NA"
"1226","DOID:0050271","obsolete cutaneous ascomycota mycosis","NA","NA"
"1229","DOID:0050272","obsolete cutaneous basidiomycota mycosis","NA","NA"
"1232","DOID:0050273","obsolete Neoscytalidium dimidiatum infectious disease","NA","NA"
"1235","DOID:0050274","obsolete Scopulariopsis infectious disease","NA","NA"
"1238","DOID:0050275","obsolete onychomycosis","NA","NA"
"1241","DOID:0050276","obsolete subcutaneous ascomycota mycosis","NA","NA"
"1244","DOID:0050277","obsolete subcutaneous fungi incertae sedis mycosis","NA","NA"
"1247","DOID:0050278","basidiobolomycosis","NA","NA"
"1250","DOID:0050279","conidiobolomycosis","NA","NA"
"1253","DOID:0050280","obsolete superficial ascomycota mycosis","NA","NA"
"1256","DOID:0050281","obsolete superficial basidiomycota mycosis","NA","NA"
"1259","DOID:0050282","obsolete primary systemic ascomycota mycosis","NA","NA"
"1262","DOID:0050283","obsolete Stachybotrys infectious disease","NA","NA"
"1265","DOID:0050284","obsolete opportunistic ascomycota mycosis","NA","NA"
"1268","DOID:0050285","obsolete opportunistic basidiomycota mycosis","NA","NA"
"1271","DOID:0050286","obsolete opportunistic fungi incertae sedis mycosis","NA","NA"
"1274","DOID:0050287","obsolete opportunistic microsporidia mycosis","NA","NA"
"1277","DOID:0050288","penicilliosis","NA","NA"
"1280","DOID:0050289","fusariosis","NA","NA"
"1283","DOID:0050290","trichosporonosis","NA","NA"
"1286","DOID:0050291","parasitic Ichthyosporea infectious disease","NA","NA"
"1289","DOID:0050292","primary systemic mycosis","NA","NA"
"1292","DOID:0050293","obsolete Scopulariopsis brevicaulis infectious disease","NA","NA"
"1295","DOID:0050294","obsolete Scytalidium hyalinum infectious disease","NA","NA"
"1298","DOID:0050295","obsolete cutaneous sporotrichosis","""plaque sporotrichosis"" EXACT []","NA"
"1302","DOID:0050296","obsolete Asfarviridae infectious disease","NA","NA"
"1305","DOID:0050297","obsolete primary Francisellaceae infectious disease","NA","NA"
"1308","DOID:0050298","obsolete adenovirus infectious disease","""Adenoviridae infectious disease"" EXACT []","DOID:3124"
"1314","DOID:0050299","obsolete Simplexvirus infectious disease","NA","NA"
"1317","DOID:0050300","obsolete Deltavirus infectious disease","NA","NA"
"1320","DOID:0050301","obsolete Polyomaviridae infectious disease","NA","NA"
"1323","DOID:0050302","obsolete Varicellovirus infectious disease","NA","NA"
"1326","DOID:0050303","obsolete Hepacivirus infectious disease","NA","NA"
"1329","DOID:0050304","aniseikonia","NA","NA"
"1332","DOID:0050305","obsolete Arteriviridae infectious disease","NA","NA"
"1335","DOID:0050306","obsolete familial abdominal aortic aneurysm","NA","NA"
"1338","DOID:0050307","obsolete Bornaviridae infectious disease","NA","NA"
"1341","DOID:0050308","Alkhurma hemorrhagic fever","NA","NA"
"1344","DOID:0050309","obsolete Measles virus infectious disease","NA","NA"
"1347","DOID:0050310","obsolete primary Listeriaceae infectious disease","NA","NA"
